activity,timestamp,x-axis,y-axis,z-axis
Idle,17/9/2020 16:04:25.51,-0.43981899999999996,-0.08046,9.90889
Rotate,17/9/2020 16:07:10.866,-0.450592,-0.082855,9.904099
Busy,17/9/2020 16:13:12.355,-0.443405,-0.058899,9.893311
Idle,17/9/2020 16:02:37.181,-0.457779,-0.10319500000000001,9.922042999999999
Pan,17/9/2020 16:09:40.866,-0.447006,-0.06131,9.899307
Busy,17/9/2020 16:13:30.305,-0.44221499999999997,-0.060104,9.881348
Pan,17/9/2020 16:09:12.063,-0.447006,-0.068481,9.895706
Rotate,17/9/2020 16:05:51.66,-0.445801,-0.074478,9.907684
Pan,17/9/2020 16:10:05.996,-0.443405,-0.061295,9.91127
Rotate,17/9/2020 16:07:14.499,-0.444611,-0.066086,9.899307
Pan,17/9/2020 16:10:49.117,-0.44221499999999997,-0.073273,9.898102
Idle,17/9/2020 16:02:55.309,-0.45178199999999996,-0.10319500000000001,9.917266999999999
Pan,17/9/2020 16:08:32.541,-0.449402,-0.08165,9.908875
Pan,17/9/2020 16:08:18.149,-0.45657299999999995,-0.07208300000000001,9.898102
Pan,17/9/2020 16:09:26.499,-0.445801,-0.070877,9.902892999999999
Busy,17/9/2020 16:12:11.203,-0.450592,-0.060104,9.874161
Idle,17/9/2020 16:03:27.828,-0.449387,-0.088837,9.902892999999999
Pan,17/9/2020 16:10:49.113,-0.44101,-0.067291,9.914856
Busy,17/9/2020 16:14:02.699,-0.44459499999999996,-0.068481,9.881348
Pan,17/9/2020 16:08:32.541,-0.43263199999999996,-0.070877,9.901703
Busy,17/9/2020 16:13:30.305,-0.44221499999999997,-0.07208300000000001,9.871765
Idle,17/9/2020 16:03:53.026,-0.45417799999999997,-0.09123200000000001,9.914856
Pan,17/9/2020 16:10:02.405,-0.43621800000000005,-0.067291,9.902892999999999
Busy,17/9/2020 16:12:29.195,-0.43263199999999996,-0.069687,9.93042
Busy,17/9/2020 16:13:44.692,-0.44699099999999997,-0.06489600000000001,9.895721
Busy,17/9/2020 16:12:50.776,-0.436234,-0.067291,9.877761999999999
Busy,17/9/2020 16:14:06.327,-0.444611,-0.0625,9.894516000000001
Rotate,17/9/2020 16:06:56.464,-0.450592,-0.076859,9.898102
Busy,17/9/2020 16:14:09.915,-0.43502799999999997,-0.06369,9.922042999999999
Busy,17/9/2020 16:13:19.535,-0.43981899999999996,-0.06369,9.893311
Rotate,17/9/2020 16:05:48.042,-0.44221499999999997,-0.075668,9.89212
Pan,17/9/2020 16:10:38.337,-0.437424,-0.061295,9.896912
Pan,17/9/2020 16:09:55.226,-0.44459499999999996,-0.06489600000000001,9.886139
Busy,17/9/2020 16:12:00.439,-0.431442,-0.0625,9.925644
Idle,17/9/2020 16:04:00.265,-0.443405,-0.094818,9.902892999999999
Busy,17/9/2020 16:12:25.567,-0.438629,-0.068481,9.889725
Idle,17/9/2020 16:03:06.15,-0.448196,-0.088837,9.91008
Busy,17/9/2020 16:13:59.104,-0.44101,-0.078064,9.894516000000001
Idle,17/9/2020 16:03:20.58,-0.45178199999999996,-0.093628,9.904099
Busy,17/9/2020 16:13:12.355,-0.444611,-0.06489600000000001,9.889725
Rotate,17/9/2020 16:07:14.501,-0.437424,-0.074463,9.906494
Busy,17/9/2020 16:13:41.114,-0.4422,-0.06489600000000001,9.870575
Idle,17/9/2020 16:02:19.053,-0.45417799999999997,-0.106796,9.905289
Rotate,17/9/2020 16:05:26.463,-0.43981899999999996,-0.08284,9.899307
Pan,17/9/2020 16:09:08.476,-0.44459499999999996,-0.0625,9.907684
Idle,17/9/2020 16:04:39.934,-0.437424,-0.078064,9.904099
Busy,17/9/2020 16:12:40.002,-0.443405,-0.048141,9.905289
Busy,17/9/2020 16:12:14.782,-0.44699099999999997,-0.06489600000000001,9.913666000000001
Pan,17/9/2020 16:08:32.541,-0.437424,-0.057709,9.900497
Idle,17/9/2020 16:03:49.424,-0.44221499999999997,-0.092422,9.91127
Busy,17/9/2020 16:14:06.328,-0.44699099999999997,-0.051726999999999995,9.880142
Idle,17/9/2020 16:03:42.21,-0.45417799999999997,-0.098419,9.898102
Idle,17/9/2020 16:03:38.623,-0.45896899999999996,-0.092422,9.905289
Pan,17/9/2020 16:08:54.126,-0.457779,-0.058914,9.906479
Busy,17/9/2020 16:13:23.115,-0.436234,-0.070877,9.902892999999999
Pan,17/9/2020 16:10:27.576,-0.44101,-0.076874,9.904099
Pan,17/9/2020 16:09:37.279,-0.44101,-0.07208300000000001,9.886139
Rotate,17/9/2020 16:07:25.305,-0.451797,-0.08284,9.913666000000001
Rotate,17/9/2020 16:07:03.65,-0.44459499999999996,-0.08644099999999999,9.91008
Idle,17/9/2020 16:03:02.526,-0.464951,-0.104401,9.918457
Busy,17/9/2020 16:13:33.896,-0.449387,-0.066086,9.881348
Pan,17/9/2020 16:10:59.925,-0.43861400000000006,-0.06131,9.896912
Pan,17/9/2020 16:10:49.117,-0.44221499999999997,-0.056503,9.906479
Busy,17/9/2020 16:13:12.355,-0.44459499999999996,-0.07925399999999999,9.898102
Pan,17/9/2020 16:10:56.33,-0.443405,-0.070877,9.901703
